	"Overall"		"var"	   "Variables"	"Resample"
"6055"	7.97195996106439	"Nruns_career"	6	"Fold024"
"6056"	7.69589876686629	"Nbat_career"	6	"Fold024"
"6057"	6.94913987020976	"Nrunsbatted"	6	"Fold024"

"6305"	9.94518639806622	"Nputouts"	6	"Fold025"
"6306"	9.64263479118069	"Nhits"		6	"Fold025"
"6307"	9.39616055715587	"Nrunsbatted"	6	"Fold025"
"6308"	8.76708703478365	"Nwalks"	6	"Fold025"
"6309"	7.53960425848356	"Nbat_career"	6	"Fold025"
"6310"	7.52744479526954	"Nhits_career"	6	"Fold025"

"6558"	10.6194732314015	"Nputouts"	6	"Fold026"
"6559"	9.06843734535342	"Nhits"		6	"Fold026"
"6560"	8.36328466141081	"Nbat_career"	6	"Fold026"
"6561"	7.22524483881171	"Nhits_career"	6	"Fold026"
"6562"	7.12465310995388	"Nwalks"	6	"Fold026"
"6563"	7.04620592571381	"Nrunsbatted"	6	"Fold026"

"6811"	11.2469935845345	"Nputouts"	6	"Fold027"
"6812"	10.478199648535		"Nhits"		6	"Fold027"
"6813"	9.85374933973229	"Nbat_career"	6	"Fold027"
"6814"	9.19776678775467	"Nwalks"	6	"Fold027"
"6815"	8.20286102840053	"Nrunsbatted"	6	"Fold027"
"6816"	8.15766917488868	"Nhits_career"	6	"Fold027"

"7064"	10.3956065593893	"Nputouts"	6	"Fold028"
"7065"	9.71362639765031	"Nwalks"	6	"Fold028"
"7066"	9.20167216975026	"Nhits"		6	"Fold028"
"7067"	8.76799215648609	"Nbat_career"	6	"Fold028"
"7068"	8.31000068714511	"Nhits_career"	6	"Fold028"
"7069"	7.27279499090442	"Nrunsbatted"	6	"Fold028"

"7317"	11.1736993632101	"Nputouts"	6	"Fold029"
"7318"	9.87447519622062	"Nhits"		6	"Fold029"
"7319"	9.2247019222558		"Nwalks"	6	"Fold029"
"7320"	8.08078225640861	"Nbat_career"	6	"Fold029"
"7321"	7.7637360052876		"Nhits_career"	6	"Fold029"
"7322"	7.28994576684086	"Nrunsbatted"	6	"Fold029"

"7570"	10.8981176502831	"Nputouts"	6	"Fold030"
"7571"	10.8577024645273	"Nhits"		6	"Fold030"
"7572"	9.94853376401802	"Nbat_career"	6	"Fold030"
"7573"	9.29100415326691	"Nwalks"	6	"Fold030"
"7574"	7.72279277314764	"Nwalks_career"	6	"Fold030"
"7575"	7.15894518178793	"Nrunsbatted"	6	"Fold030"

"7823"	10.729932299631		"Nputouts"	6	"Fold031"
"7824"	9.48559410843585	"Nhits_career"	6	"Fold031"
"7825"	8.34919059081773	"Nhits"		6	"Fold031"
"7826"	8.13957921391546	"Nwalks"	6	"Fold031"
"7827"	8.12853505813431	"Nbat_career"	6	"Fold031"
"7828"	7.20574455697354	"Nrunsbatted"	6	"Fold031"

"8076"	9.03740055429426	"Nhits"		6	"Fold032"
"8077"	8.83204112464127	"Nhits_career"	6	"Fold032"
"8078"	8.35634382707216	"Nwalks"	6	"Fold032"
"8079"	7.99550228264086	"Nbat_career"	6	"Fold032"
"8080"	7.37902707181667	"Nrunsbatted"	6	"Fold032"
"8081"	6.89462298683558	"Nputouts"	6	"Fold032"

"8329"	10.2496818431493	"Nputouts"	6	"Fold033"
"8330"	9.41026517270112	"Nhits"		6	"Fold033"
"8331"	9.24219874573992	"Nwalks"	6	"Fold033"
"8332"	8.66983327555922	"Nbat_career"	6	"Fold033"
"8333"	7.78060294420564	"Nhits_career"	6	"Fold033"
"8334"	7.46712958269553	"Nruns_career"	6	"Fold033"

"8582"	12.5049998899927	"Nputouts"	6	"Fold034"
"8583"	10.3958597936144	"Nwalks"	6	"Fold034"
"8584"	9.35314274997724	"Nhits"		6	"Fold034"
"8585"	8.1636221214453		"Nbat_career"	6	"Fold034"
"8586"	7.63118011065551	"Nrunsbatted"	6	"Fold034"
"8587"	7.17296739752869	"Nhits_career"	6	"Fold034"

"8835"	9.42792561971066	"Nputouts"	6	"Fold035"
"8836"	9.27289863353992	"Nhits"		6	"Fold035"
"8837"	8.60190673450215	"Nwalks"	6	"Fold035"
"8838"	8.32875473326388	"Nbat_career"	6	"Fold035"
"8839"	8.09761330227382	"Nhits_career"	6	"Fold035"
"8840"	7.62738734750856	"Nruns_career"	6	"Fold035"

"9088"	10.4103561614643	"Nputouts"	6	"Fold036"
"9089"	9.35909486139263	"Nbat_career"	6	"Fold036"
"9090"	9.29096628133581	"Nwalks"	6	"Fold036"
"9091"	8.90370164009427	"Nhits"		6	"Fold036"
"9092"	7.21410020544391	"Nhits_career"	6	"Fold036"
"9093"	7.01614829192645	"Nwalks_career"	6	"Fold036"

"9341"	12.2467244152057	"Nputouts"	6	"Fold037"
"9342"	10.5734297535783	"Nhits"		6	"Fold037"
"9343"	9.63300505530607	"Nrunsbatted"	6	"Fold037"
"9344"	8.33535865565517	"Nwalks"	6	"Fold037"
"9345"	8.07743170223107	"Nbat_career"	6	"Fold037"
"9346"	7.68917614829593	"Nruns_career"	6	"Fold037"

"9594"	10.7962995170645	"Nputouts"	6	"Fold038"
"9595"	9.42653526938078	"Nwalks"	6	"Fold038"
"9596"	8.66895152062005	"Nbat_career"	6	"Fold038"
"9597"	8.03539628879408	"Nrunsbatted"	6	"Fold038"
"9598"	7.74814318982324	"Nhits"		6	"Fold038"
"9599"	6.87952809976305	"Nwalks_career"	6	"Fold038"

"9847"	10.052371502397		"Nhits"		6	"Fold039"
"9848"	9.9247273306454		"Nputouts"	6	"Fold039"
"9849"	8.22081611717407	"Nwalks"	6	"Fold039"
"9850"	7.91145240000565	"Nbat_career"	6	"Fold039"
"9851"	7.33749246501952	"Nyears_in_the_major_leagues"	6	"Fold039"
"9852"	7.26749178890653	"Nruns_career"	6	"Fold039"

"10100"	9.23815530348616	"Nputouts"	6	"Fold040"
"10101"	8.57779112611968	"Nhits"		6	"Fold040"
"10102"	8.2152614956492		"Nbat_career"	6	"Fold040"
"10103"	7.91575768384202	"Nwalks"	6	"Fold040"
"10104"	6.89956645334594	"Nhits_career"	6	"Fold040"
"10105"	6.88764965560515	"Nrunsbatted"	6	"Fold040"

"10353"	10.3574105388026	"Nputouts"	6	"Fold041"
"10354"	9.0790137514681		"Nwalks"	6	"Fold041"
"10355"	8.49855470837736	"Nbat_career"	6	"Fold041"
"10356"	8.26683433557323	"Nhits"		6	"Fold041"
"10357"	8.19441070231168	"Nrunsbatted"	6	"Fold041"
"10358"	7.98817300294992	"Nhits_career"	6	"Fold041"

"10606"	8.72493541510327	"Nwalks"	6	"Fold042"
"10607"	8.72166785538725	"Nhits_career"	6	"Fold042"
"10608"	8.58484506308121	"Nbat_career"	6	"Fold042"
"10609"	8.56719314575665	"Nrunsbatted"	6	"Fold042"
"10610"	8.02953518703361	"Nhits"		6	"Fold042"
"10611"	7.57229170588069	"Nruns_career"	6	"Fold042"

"10859"	11.9446848311999	"Nputouts"	6	"Fold043"
"10860"	10.421007009508		"Nhits"		6	"Fold043"
"10861"	9.56984604997527	"Nhits_career"	6	"Fold043"
"10862"	9.2187654189553		"Nbat_career"	6	"Fold043"
"10863"	8.77536458190941	"Nwalks"	6	"Fold043"
"10864"	7.47375872039748	"Nruns_career"	6	"Fold043"

"11112"	11.1210728591072	"Nputouts"	6	"Fold044"
"11113"	8.96408821065059	"Nhits_career"	6	"Fold044"
"11114"	8.73316104997515	"Nbat_career"	6	"Fold044"
"11115"	8.63349266095992	"Nwalks"	6	"Fold044"
"11116"	8.5317425798773		"Nhits"		6	"Fold044"
"11117"	7.29448496457273	"Nrunsbatted"	6	"Fold044"

"11365"	10.3125121080976	"Nhits"		6	"Fold045"
"11366"	10.2574744508026	"Nputouts"	6	"Fold045"
"11367"	8.78682503063691	"Nwalks"	6	"Fold045"
"11368"	8.60066011563377	"Nrunsbatted"	6	"Fold045"
"11369"	7.98628350528878	"Nbat_career"	6	"Fold045"
"11370"	7.07370080064008	"Nhits_career"	6	"Fold045"

"11618"	11.57546884909		"Nputouts"	6	"Fold046"
"11619"	9.94141789736657	"Nhits"		6	"Fold046"
"11620"	8.48950117598197	"Nbat_career"	6	"Fold046"
"11621"	8.04388478284062	"Nrunsbatted"	6	"Fold046"
"11622"	8.02296594968751	"Nwalks"	6	"Fold046"
"11623"	6.78999386118577	"Nrunsbatted_career"	6	"Fold046"

"11871"	12.6755080268877	"Nputouts"	6	"Fold047"
"11872"	10.2376373920457	"Nwalks"	6	"Fold047"
"11873"	9.30143338043983	"Nhits"		6	"Fold047"
"11874"	8.69185693779012	"Nhits_career"	6	"Fold047"
"11875"	7.52395372196203	"Nbat_career"	6	"Fold047"
"11876"	7.38798565226524	"Nrunsbatted"	6	"Fold047"

"12124"	11.6852516170175	"Nputouts"	6	"Fold048"
"12125"	10.5943738493966	"Nwalks"	6	"Fold048"
"12126"	9.73774914773559	"Nbat_career"	6	"Fold048"
"12127"	8.8539361251874		"Nhits"		6	"Fold048"
"12128"	7.01251221298563	"Nruns_career"	6	"Fold048"
"12129"	6.49116364614441	"Nrunsbatted"	6	"Fold048"

"12377"	10.5286473526116	"Nhits"		6	"Fold049"
"12378"	10.3967100302028	"Nputouts"	6	"Fold049"
"12379"	9.5306540235921		"Nwalks"	6	"Fold049"
"12380"	8.82989869831264	"Nhits_career"	6	"Fold049"
"12381"	8.49950325009552	"Nbat_career"	6	"Fold049"
"12382"	6.93933741129222	"Nrunsbatted"	6	"Fold049"

"12630"	10.4503507606069	"Nwalks"	6	"Fold050"
"12631"	9.18181382459529	"Nhits_career"	6	"Fold050"
"12632"	9.16258621446095	"Nhits"		6	"Fold050"
"12633"	8.95682327815187	"Nbat_career"	6	"Fold050"
"12634"	8.44387760930848	"Nputouts"	6	"Fold050"
"12635"	7.2455546789924		"Nyears_in_the_major_leagues"	6	"Fold050"

"12883"	10.4747869395637	"Nputouts"	6	"Fold051"
"12884"	9.3418596661596		"Nhits_career"	6	"Fold051"
"12885"	8.18705438061858	"Nhits"		6	"Fold051"
"12886"	7.81014221851457	"Nwalks"	6	"Fold051"
"12887"	7.38223982260049	"Nbat_career"	6	"Fold051"
"12888"	7.04461834481567	"Nyears_in_the_major_leagues"	6	"Fold051"

"13136"	9.83388142047199	"Nhits"		6	"Fold052"
"13137"	9.31335412828313	"Nbat_career"	6	"Fold052"
"13138"	9.19360118058463	"Nputouts"	6	"Fold052"
"13139"	9.13268115860676	"Nwalks"	6	"Fold052"
"13140"	7.59188962094228	"Nrunsbatted"	6	"Fold052"
"13141"	7.21881417975086	"Nhits_career"	6	"Fold052"

"13389"	10.426840496403		"Nputouts"	6	"Fold053"
"13390"	9.51999411971633	"Nwalks"	6	"Fold053"
"13391"	9.41697705314726	"Nhits"		6	"Fold053"
"13392"	7.92947285995076	"Nhits_career"	6	"Fold053"
"13393"	7.80631568787343	"Nruns_career"	6	"Fold053"
"13394"	7.42592218291617	"Nbat_career"	6	"Fold053"

